artistName,segment
Los Ángeles Azules,Light listeners
Mykal Rose,Light listeners
Dougie F,Previously Active Listeners
TiaCorine,Previously Active Listeners
Björk,Moderate listeners
Carmen Linares,Previously Active Listeners
Molly McPhaul,Previously Active Listeners
Soledad,Previously Active Listeners
JOAKO,Previously Active Listeners
Alborosie,Moderate listeners
Omar Souleyman,Previously Active Listeners
Jose Merce,Previously Active Listeners
Ab Liva,Previously Active Listeners
Awkward,Previously Active Listeners
Seun Kuti,Previously Active Listeners
CARI,Previously Active Listeners
Los Gardelitos,Moderate listeners
Mariah the Scientist,Previously Active Listeners
Common,Light listeners
SFDK,Previously Active Listeners
Eight9FLY,Previously Active Listeners
Clams Casino,Previously Active Listeners
Mercedes Sosa,Light listeners
SoFaygo,Previously Active Listeners
KAYTRAMINÉ,Previously Active Listeners
Young Nudy,Previously Active Listeners
Miranda!,Previously Active Listeners
Erykah Badu,Super Listeners
Raphael Saadiq,Previously Active Listeners
Mir Nicolas,Previously Active Listeners
SAILORR,Previously Active Listeners
Garena Free Fire,Previously Active Listeners
Ty Dolla $ign,Previously Active Listeners
Yahritza Y Su Esencia,Previously Active Listeners
Elio Toffana,Previously Active Listeners
Cash Cobain,Previously Active Listeners
SahBabii,Previously Active Listeners
Spinetta Jade,Previously Active Listeners
Lil Supa,Previously Active Listeners
FLO,Previously Active Listeners
Britney Spears,Previously Active Listeners
El Mató a un Policía Motorizado,Previously Active Listeners
Mad Keys,Previously Active Listeners
Martirio,Previously Active Listeners
Molly Santana,Previously Active Listeners
CeeLo Green,Light listeners
Madonna,Previously Active Listeners
JAŸ-Z,Previously Active Listeners
Brainstory,Previously Active Listeners
Kanye West,Super Listeners
Tom Misch,Previously Active Listeners
Elvis Crespo,Previously Active Listeners
Monica,Previously Active Listeners
Malandro,Previously Active Listeners
sam e hues,Previously Active Listeners
The Roots,Previously Active Listeners
Nubiyan Twist,Previously Active Listeners
Coi Leray,Previously Active Listeners
Jessica Pratt,Previously Active Listeners
Vodka,Previously Active Listeners
Vince Staples,Previously Active Listeners
Manolo Garcia,Previously Active Listeners
Ill Pekeño,Previously Active Listeners
J Lloyd,Previously Active Listeners
Mac Miller,Previously Active Listeners
Roni Kaspi,Previously Active Listeners
Bob Marley & The Wailers,Previously Active Listeners
J. Cole,Previously Active Listeners
Various Artists,Light listeners
WILLOW,Previously Active Listeners
Dolly Parton,Light listeners
Hephzibah,Previously Active Listeners
Santiki,Previously Active Listeners
Ranking Joe,Light listeners
KIDS SEE GHOSTS,Previously Active Listeners
Ríal Guawankó,Previously Active Listeners
Amindi,Previously Active Listeners
VanJess,Previously Active Listeners
Esperanza Spalding,Previously Active Listeners
corto.alto,Previously Active Listeners
October London,Previously Active Listeners
Lucho SSJ,Previously Active Listeners
Ramakhandra,Previously Active Listeners
NEONE the Wonderer,Previously Active Listeners
Deacon,Previously Active Listeners
Juana Rozas,Previously Active Listeners
The Purist,Previously Active Listeners
RaiNao,Previously Active Listeners
Talib Kweli,Previously Active Listeners
Cool & Dre,Previously Active Listeners
The High & Mighty,Previously Active Listeners
Luis Alberto Spinetta,Super Listeners
Jacob Collier,Previously Active Listeners
Santigold,Previously Active Listeners
reggie,Previously Active Listeners
Michi,Previously Active Listeners
Ravyn Lenae,Previously Active Listeners
Paul Epworth,Previously Active Listeners
Loyle Carner,Previously Active Listeners
2 Chainz,Previously Active Listeners
ACRU,Previously Active Listeners
JACKBOYS,Previously Active Listeners
aespa,Previously Active Listeners
prodbyrl,Previously Active Listeners
Gabriel Lombardo,Previously Active Listeners
Myke Towers,Previously Active Listeners
La Renga,Light listeners
Smino,Previously Active Listeners
Juan Pardo,Previously Active Listeners
An Espil,Previously Active Listeners
Pharrell Williams,Moderate listeners
GIVĒON,Previously Active Listeners
Maria Dolores Pradera,Previously Active Listeners
Lali,Previously Active Listeners
Varoner,Previously Active Listeners
Bizarrap,Previously Active Listeners
Masego,Previously Active Listeners
Gauchito Club,Previously Active Listeners
The Jacksons,Previously Active Listeners
THE-DREAM,Light listeners
Clara Rockmore,Previously Active Listeners
Mr. Vegas,Previously Active Listeners
Amaria,Previously Active Listeners
Young Dro,Previously Active Listeners
John Frusciante,Previously Active Listeners
Camaron De La Isla,Previously Active Listeners
Rocío Márquez,Previously Active Listeners
Michael Jackson,Previously Active Listeners
Lords Of The Underground,Previously Active Listeners
Solange,Previously Active Listeners
BIA,Previously Active Listeners
Omar Courtz,Previously Active Listeners
Juanito Valderrama,Previously Active Listeners
Teddy Swims,Previously Active Listeners
Swarvy,Previously Active Listeners
Give Em Soul,Previously Active Listeners
TINI,Light listeners
Sauce Walka,Previously Active Listeners
Little Brother,Previously Active Listeners
Adrian Dargelos,Previously Active Listeners
Momo Boyd,Previously Active Listeners
Loaded Honey,Previously Active Listeners
Ky-Mani Marley,Previously Active Listeners
Bad Bunny,Previously Active Listeners
Alexandra Savior,Previously Active Listeners
Amaya,Previously Active Listeners
Musiq Soulchild,Previously Active Listeners
Fito Paez,Previously Active Listeners
Dano,Previously Active Listeners
The Strokes,Previously Active Listeners
Miguel Ríos,Light listeners
Florence + The Machine,Previously Active Listeners
Beéle,Previously Active Listeners
bLAck pARty,Previously Active Listeners
Jordan Ward,Previously Active Listeners
Columvainas,Previously Active Listeners
Larry June,Previously Active Listeners
Yung Lean,Previously Active Listeners
Estrella Morente,Previously Active Listeners
Burniss Travis,Previously Active Listeners
Voices of Fire,Light listeners
Dei V,Previously Active Listeners
Andre Troutman,Previously Active Listeners
RIMON,Previously Active Listeners
Kid Cudi,Previously Active Listeners
Moody Bank$,Previously Active Listeners
JPEGMAFIA,Previously Active Listeners
Conductor Williams,Previously Active Listeners
Paula Prieto,Previously Active Listeners
El Alfa,Previously Active Listeners
Ab-Liva,Light listeners
Feid,Previously Active Listeners
Cordae,Previously Active Listeners
Paul Grant,Previously Active Listeners
Silvio Rodríguez,Previously Active Listeners
SPONSOR DIOS,Previously Active Listeners
Arima Ederra,Previously Active Listeners
Gunna,Previously Active Listeners
Jozzy,Previously Active Listeners
Anitta,Previously Active Listeners
Rome Streetz,Previously Active Listeners
Adi Oasis,Previously Active Listeners
Erika de Casier,Previously Active Listeners
Pappo,Light listeners
Alicia Keys,Previously Active Listeners
Tony the Tiger,Previously Active Listeners
André 3000,Previously Active Listeners
Jamila Woods,Previously Active Listeners
Doechii,Previously Active Listeners
Flume,Previously Active Listeners
Brapis,Previously Active Listeners
EARTHGANG,Previously Active Listeners
Taylour Paige,Previously Active Listeners
Nile Rodgers,Previously Active Listeners
PJ,Previously Active Listeners
Lil Silva,Previously Active Listeners
Traffic,Previously Active Listeners
Indio Solari,Previously Active Listeners
J Money,Previously Active Listeners
Black Thought,Previously Active Listeners
Los Chalchaleros,Previously Active Listeners
Sam Smith,Previously Active Listeners
Meshell Ndegeocello,Previously Active Listeners
Bersuit Vergarabat,Previously Active Listeners
This Mortal Coil,Previously Active Listeners
Pablo Milanés,Light listeners
Lia Kali,Previously Active Listeners
Yeat,Previously Active Listeners
Lydia Kitto,Previously Active Listeners
Sasha Keable,Previously Active Listeners
Rob49,Previously Active Listeners
Childish Gambino,Previously Active Listeners
Yves Tumor,Previously Active Listeners
Alfa Mist,Previously Active Listeners
The Weeknd,Previously Active Listeners
Mustafa,Previously Active Listeners
Pusha T,Super Listeners
Kendrick Lamar,Light listeners
Wale,Previously Active Listeners
CRTRAP OFICIAL,Previously Active Listeners
Too $hort,Previously Active Listeners
Bardero$,Previously Active Listeners
TLC,Previously Active Listeners
Joaquín Sabina,Moderate listeners
Shay Lia,Previously Active Listeners
Invisible,Previously Active Listeners
Fousheé,Previously Active Listeners
Lola Young,Previously Active Listeners
C.R.O,Previously Active Listeners
Ciara,Previously Active Listeners
Your Old Droog,Previously Active Listeners
Playboi Carti,Previously Active Listeners
Miguel Poveda,Previously Active Listeners
Lisandro Aristimuño,Super Listeners
Urbanse,Previously Active Listeners
Amanda Reifer,Previously Active Listeners
Proof,Previously Active Listeners
Inti-Illimani,Previously Active Listeners
Bo Burnham,Previously Active Listeners
Tre' Amani,Light listeners
Red Hot Chili Peppers,Previously Active Listeners
KIRBY,Previously Active Listeners
War Child Records,Previously Active Listeners
M.I.A.,Previously Active Listeners
Teezo Touchdown,Previously Active Listeners
Ralphie Choo,Previously Active Listeners
Ria Moran,Previously Active Listeners
Beyoncé,Previously Active Listeners
Daft Punk,Previously Active Listeners
Imogen Heap,Previously Active Listeners
Zeballos,Previously Active Listeners
Patricio Rey y sus Redonditos de Ricota,Super Listeners
Stevie Wonder,Previously Active Listeners
Jesus Molina,Previously Active Listeners
Wiz Khalifa,Previously Active Listeners
DONDA,Previously Active Listeners
Justice,Previously Active Listeners
Judeline,Previously Active Listeners
Rochelle Jordan,Previously Active Listeners
Jake La Furia,Previously Active Listeners
Haitian Jack,Previously Active Listeners
LaToiya Williams,Previously Active Listeners
Wyatt Waddell,Previously Active Listeners
Antonio Carmona,Previously Active Listeners
Sauce Walka,Previously Active Listeners
Kaelin Ellis,Previously Active Listeners
James Blake,Previously Active Listeners
Kal Banx,Previously Active Listeners
Slum Village,Super Listeners
NxWorries,Previously Active Listeners
Bootsy Collins,Previously Active Listeners
H.E.R.,Previously Active Listeners
SZA,Previously Active Listeners
ELIZA,Super Listeners
Manu Beats,Previously Active Listeners
The Kount,Previously Active Listeners
03 Greedo,Previously Active Listeners
Yussef Dayes,Previously Active Listeners
Vinocio,Previously Active Listeners
Turf,Previously Active Listeners
Mereba,Previously Active Listeners
Sudan Archives,Previously Active Listeners
PARTYNEXTDOOR,Previously Active Listeners
mimofr,Previously Active Listeners
Coldplay,Previously Active Listeners
CRIMEAPPLE,Previously Active Listeners
KLAN,Previously Active Listeners
Pasión Vega,Previously Active Listeners
Brandy,Previously Active Listeners
ROSALÍA,Previously Active Listeners
Chambao,Previously Active Listeners
Sheck Wes,Previously Active Listeners
GENA,Previously Active Listeners
Imani Imani,Previously Active Listeners
Summer Walker,Previously Active Listeners
Miho Hatori,Previously Active Listeners
Ergo Pro,Previously Active Listeners
21 Savage,Previously Active Listeners
BALTA,Previously Active Listeners
DANDARA,Previously Active Listeners
Pedro Aznar,Previously Active Listeners
DJ Premier,Previously Active Listeners
Camille Saint-Saëns,Previously Active Listeners
Callejeros,Light listeners
Intoxicados,Previously Active Listeners
Taiu,Previously Active Listeners
David Gilmour,Previously Active Listeners
Paco Amoroso,Previously Active Listeners
PinkPantheress,Previously Active Listeners
Malice,Super Listeners
Pastor Troy,Previously Active Listeners
Gustavo Cerati,Previously Active Listeners
Mono/Poly,Previously Active Listeners
KAYTRANADA,Previously Active Listeners
Dabu,Previously Active Listeners
GloRilla,Previously Active Listeners
Iman Europe,Previously Active Listeners
Charly García,Previously Active Listeners
Son Little,Previously Active Listeners
Future,Previously Active Listeners
Nadia Reisenberg,Previously Active Listeners
Steve Lacy,Previously Active Listeners
Matt Martians,Previously Active Listeners
